title
"Screwdriver Utilization (%): by System Username"
parameters

start,end
2016-12-22,2017-01-01
---------
"System Username","Screwdriver Utilization (%)"
meapi,13.870856070
aytinis,11.237060208
moorh,6.345087178
garwa,3.297890322
honbu,2.974970517
crane,1.844111117
smew1,1.741571970
lapwi,1.453984460
egygo,1.339121212
duswa,1.241095966
turdo,1.188493968
sposa,1.153237699
reebu,1.118720884
caspl,0.905197287
legsh,0.813495814
siski,0.795851686
sarwa,0.788920412
shttr,0.777167339
chaff,0.727316477
sancr,0.722505707
ovenb,0.627006771
velsc,0.499885521
whtsp,0.498325331
misth,0.492239555
whimb,0.465764195
pereg,0.423541667
ferdu,0.397771439
hoowa,0.365806941
yebsa,0.339268826
corsh,0.331841326
noror,0.303012377
shag1,0.216754503
swath,0.214396989
whtpl,0.150465275
dunli,0.143763996
vertera,0.137021089
yebwa,0.136788722
ybsbu,0.115091231
evegr,0.106917926
boowa,0.096737225
grath,0.096551515
yebbu,0.095358688
gloib,0.090921723
litau,0.058963011
alpsw,0.057838381
rolle,0.055902907
pibgr,0.047367718
field,0.032668144
lanhach,0.024683234
sante,0.016560388
lesre,0.014316610
sogsh,0.012856032
henha,0.009549403
jackd,0.008275360
mamwa,0.006818864
blhbu,0.005669422
grgsh,0.005174081
proubis,0.003313078
ribgu,0.003021752
allga,0.002664773
litst,0.002337069
coot1,0.002208750
categ,0.002207917
crama,0.002134366
relpa,0.000098485
savsp,0.000060047
---------
